Name, OrderNo, Data Depth,Format depth,,,,,
IDBac,1,7,1,,,,,
xcms,1,1,0,,,,,
MAIT,1,1,0,,,,Data frequency,Format Frequency
MAIT,2,4,0,,,,18,29
MAIT,3,0,0,,,,17,10
speaq,1,1,1,,,,3,1
Goslin,1,3,1,,,,5,7
pyQms,1,2,0,,,,5,0
Ramid,1,0,0,,,,0,2
RMassBank,1,1,1,,,,0,0
OpenChrom,1,0,0,,,,1,0
OpenChrom,2,3,0,,,,0,0
SpiderMass,1,2,3,,,,0,0
SpiderMass,2,1,3,,,,0,0
SpiderMass,1,1,0,,,,0,0
msalign2,1,3,0,,,,0,0
LipidXplorer,1,1,1,,,,,
SIMAT,1,4,1,,,,,
Sirius,1,1,0,,,,,
Sirius,2,0,0,,,,,
mmvec,1,1,5,,,,,
mmvec,2,1,5,,,,,
MZmine,1,0,0,,,,,
MZmine,1,0,0,,,,,
MZmine,2,1,0,,,,,
MZmine,3,3,0,,,,,
BRAIN,1,1,0,,,,,
ThermoRawFileParser,1,0,0,,,,,
Isoform,1,1,0,,,,,
DExSI: Targeted GC-MS Metabolomics,1,0,0,,,,,
OpenMS,1,0,0,,,,,
OpenMS,2,2,0,,,,,
Graphia,1,0,0,,,,,
COMSPARI,1,0,3,,,,,
COMSPARI,1,0,3,,,,,
ID-Align,1,1,1,,,,,
ID-Align,2,0,1,,,,,
jmztab-m,1,1,0,,,,,
CEU Mass Mediator,1,4,3,,,,,
CEU Mass Mediator,2,0,3,,,,,
CEU Mass Mediator,3,1,3,,,,,
MetFamily,1,3,0,,,,,
mixomics,1,4,2,,,,,
VSClust,1,1,0,,,,,
VSClust,2,0,0,,,,,
OpenMZxy,1,0,0,,,,,
XCMS Online,1,0,1,,,,,
Midcor,1,0,0,,,,,
Lipid Data Analyzer (LDA),1,4,1,,,,,
