Name, OrderNo, Data Depth,Format depth,,,,,
isotop_fs,1,1,2,,,,,
DTA to MGF File Converter,1,0,5,,,,Data frequency,Format Frequency
mres2x,1,1,0,,,,218,273
mres2x,1,1,0,,,,100,37
plier,1,0,0,,,,35,11
MAFFT (EBI),1,1,0,,,,3,0
TopPIC,1,0,1,,,,0,0
TopPIC,2,1,0,,,,0,45
T2D converter,1,0,1,,,,0,0
InsPecT,1,0,0,,,,10,0
InsPecT,2,1,0,,,,0,0
isobar,1,0,0,,,,0,0
isobar,2,0,0,,,,0,0
hydrogen_bondifier,1,1,0,,,,0,0
VIPER LC-MS,1,0,0,,,,0,0
VIPER LC-MS,2,0,0,,,,,
MeroX,1,0,0,,,,,
MeroX,2,0,0,,,,,
isotope.py,1,1,2,,,,,
ProLiC (Protein List Comparator),1,1,1,,,,,
TMHMM,1,2,0,,,,,
MassChroQ,1,0,0,,,,,
POSTMan,1,0,1,,,,,
POSTMan,2,0,0,,,,,
PRIDE Toolsuite,1,7,0,,,,,
esimsa2D,1,0,5,,,,,
esimsa2D,2,1,5,,,,,
esimsa2D,3,0,5,,,,,
Novor,1,0,0,,,,,
PIQMIe,1,1,0,,,,,
PIQMIe,2,1,5,,,,,
Proteinspector,1,1,5,,,,,
ProFound,1,0,5,,,,,
mz2mgf,1,0,0,,,,,
SCENERY,1,2,5,,,,,
PaDuA,1,0,0,,,,,
PaDuA,2,2,5,,,,,
PECAN (PEptide-Centric Analysis),1,0,0,,,,,
PECAN (PEptide-Centric Analysis),2,2,1,,,,,
PEP-SiteFinder,1,1,0,,,,,
PEP-SiteFinder,2,1,0,,,,,
PEAKS Q,1,0,0,,,,,
PEAKS Q,1,0,0,,,,,
EncyclopeDIA,1,0,1,,,,,
EncyclopeDIA,2,2,0,,,,,
EncyclopeDIA,1,0,0,,,,,
MS-Spectre,1,0,0,,,,,
MzVar,1,1,0,,,,,
MzVar,2,1,0,,,,,
mzBruker,1,0,1,,,,,
ProRata,1,0,0,,,,,
ProRata,2,0,5,,,,,
ProRata,3,0,0,,,,,
ProRata,1,0,0,,,,,
ProRata,2,0,5,,,,,
ProRata,3,0,0,,,,,
MSImageView,1,0,0,,,,,
Deuterator,1,0,0,,,,,
Deuterator,2,1,0,,,,,
Deuterator,3,1,0,,,,,
Mass-Up,1,0,0,,,,,
Mass-Up,2,0,0,,,,,
APLToMGFConverter,1,0,0,,,,,
Biospean,1,0,5,,,,,
GenePattern,1,7,0,,,,,
UniMod,1,1,5,,,,,
pepXML2Excel,1,2,0,,,,,
ProCon (Proteomics Conversion Tool),1,1,0,,,,,
MZmine,1,0,0,,,,,
MZmine,1,0,0,,,,,
mspire_mspire-sequest,1,7,0,,,,,
BioLCCC,1,1,5,,,,,
msmsEDA,1,1,1,,,,,
PEAKS De Novo,1,0,0,,,,,
wiff2dta,1,0,0,,,,,
PEAKS De Novo,1,0,0,,,,,
dig2,1,0,0,,,,,
Cardinal,1,1,0,,,,,
RawTools,1,0,0,,,,,
